file,caption
strp01.png,"strp, front view, arms relaxed at sides"
strp02.png,"strp, front view, both hands on hips"
strp03.png,"strp, front view, arms crossed"
strp04.png,"strp, front view, pointing forward"
strp05.png,"strp, front view, flexing both arms"
strp06.png,"strp, front view, hands behind head"
strp07.png,"strp, three-quarter left view, one hand on hip"
strp08.png,"strp, three-quarter right view, arms at sides"
strp09.png,"strp, three-quarter left view, mid-stride walking"
strp10.png,"strp, left side profile, arms at sides"
strp11.png,"strp, right side profile, gesturing"
strp12.png,"strp, left side profile, mid-stride walking"
strp13.png,"strp, front view, leaning back laughing"
strp14.png,"strp, front view, thumbs up"
strp15.png,"strp, front view, arms spread wide"
strp16.png,"strp, three-quarter right view, hand on chin"
strp17.png,"strp, front view, hands on belly"
strp18.png,"strp, three-quarter left view, arms crossed"
strp19.png,"strp, rear view, arms at sides"
strp20.png,"strp, rear view, hands on hips"
strp21.png,"strp, three-quarter back left view"
strp22.png,"strp, three-quarter back right view"
strp23.png,"strp, rear view, mid-stride walking away"
strp24.png,"strp, rear view, looking back over shoulder"
